col,value,n,class,p_by_chance
Col1,Word24 Word22 Word4 Word5,55,Category_1,0.001138086869161979
Col3,140.4,54,Category_1,0.001287358473861268
Col1,Word179 Word180 Word181 Word182,53,Category_1,0.0014562085594070232
Col1,Word54 Word3 Word4,46,Category_1,0.0034505804968470825
Col1,Word78 Word79 Word11 Word5,45,Category_1,0.0039031590318122605
Col4,Word578 Word791,43,Category_1,0.0049941825574677514
Col4,Word924 Word784 Word785,42,Category_1,0.005649220116299571
Col1,Word41 Word125 Word34 Word5,41,Category_1,0.006390172476711632
Col6,Word563 Word598 Word71,41,Category_1,0.006390172476711632
Col1,Word59 Word60 Word61 Word5,40,Category_1,0.007228308233963933
Col1,Word62 Word63 Word18 Word7,40,Category_1,0.007228308233963933
Col4,Word60 Word99 Word26,38,Category_1,0.009248788124654512
Col3,576.0,38,Category_1,0.009248788124654512
Col6,Word560 Word561 Word107,38,Category_1,0.009248788124654512
Col1,Word134 Word61 Word45 Word39,38,Category_1,0.009248788124654512
Col1,Word40 Word41 Word4 Word5,37,Category_1,0.01046186023918254
Col4,Word785 Word330 Word99 Word764 Word61,36,Category_1,0.011834039031819328
col5_month,2016-10,36,Category_1,0.011834039031819328
Col3,5040.0,36,Category_1,0.011834039031819328
Col3,720.0,36,Category_1,0.011834039031819328
Col3,2829197.98,35,Category_1,0.013386192952771277
Col3,2570126.23,35,Category_1,0.013386192952771277
Col4,Word834 Word835 Word46,35,Category_1,0.013386192952771277
Col4,Word845 Word835 Word46,35,Category_1,0.013386192952771277
Col3,-269111.58,35,Category_1,0.013386192952771277
Col1,Word106 Word107 Word7,34,Category_1,0.015141927560574833
Col4,Word804 Word805 Word806,34,Category_1,0.015141927560574833
Col3,269111.58,34,Category_1,0.015141927560574833
Col4,Word826 Word785,34,Category_1,0.015141927560574833
Col6,Word567 Word582 Word583 Word584 Word585 Word5,34,Category_1,0.015141927560574833
Col3,900.0,33,Category_1,0.017127944521539967
Col3,3500.0,32,Category_1,0.01937444769560197
Col4,Word846 Word791,32,Category_1,0.01937444769560197
Col4,Word330 Word99 Word764 Word26,32,Category_1,0.01937444769560197
Col3,3780.0,31,Category_1,0.021915602484440272
Col1,Word299 Word237 Word7,30,Category_1,0.024790055427749418
Col3,450.0,30,Category_1,0.024790055427749418
Col3,600.0,30,Category_1,0.024790055427749418
Col1,Word166 Word5,30,Category_1,0.024790055427749418
Col4,Word785 Word330 Word99 Word764 Word26,29,Category_1,0.028041521949816642
Col4,Word121 Word836,28,Category_1,0.03171945119500831
Col1,Word122 Word123 Word21 Word124 Word5,27,Category_1,0.03587977806315513
Col1,Word70 Word47 Word71 Word72 Word7,26,Category_1,0.040585773881985074
Col3,320.4,25,Category_1,0.04590900865385042
Col3,96.0,25,Category_1,0.04590900865385042
Col4,Word787 Word784 Word785,25,Category_1,0.04590900865385042
Col4,Word13 Word794,25,Category_1,0.04590900865385042
Col1,Word219 Word220 Word34 Word5,24,Category_1,0.05193043951084632
Col3,3862.5,24,Category_1,0.05193043951084632
Col1,Word186 Word4 Word5,24,Category_1,0.05193043951084632
Col6,Word567 Word569 Word570,24,Category_1,0.05193043951084632
Col1,Word286 Word287 Word288 Word39,24,Category_1,0.05193043951084632
Col4,Word1013,23,Category_1,0.05874164193182791
Col3,4100.0,23,Category_1,0.05874164193182791
Col4,Word564 Word9 Word26,23,Category_1,0.05874164193182791
Col4,Word979 Word836 Word980 Word45 Word981 Word80,23,Category_1,0.05874164193182791
Col3,51.6,22,Category_1,0.06644620244599286
Col3,870.0,22,Category_1,0.06644620244599286
Col4,Word992 Word784 Word785,22,Category_1,0.06644620244599286
Col1,Word25 Word26,22,Category_1,0.06644620244599286
Col1,Word273 Word61,22,Category_1,0.06644620244599286
Col1,Word76 Word77 Word5,21,Category_1,0.07516129400362644
Col1,Word111 Word112 Word91 Word107 Word7,21,Category_1,0.07516129400362644
Col1,Word257 Word258 Word259 Word5,21,Category_1,0.07516129400362644
Col1,Word109 Word61 Word7,21,Category_1,0.07516129400362644
Col4,Word877,20,Category_1,0.08501945797265431
Col1,Word217 Word3 Word10 Word5,20,Category_1,0.08501945797265431
Col1,Word223 Word60 Word65 Word4 Word7,20,Category_1,0.08501945797265431
Col1,Word261 Word262,20,Category_1,0.08501945797265431
Col4,Word330 Word99 Word764 Word61,20,Category_1,0.08501945797265431
Col6,Word560 Word561 Word315 Word638,20,Category_1,0.08501945797265431
Col4,Word51 Word794 Word562,19,Category_1,0.09617061986206864
Col4,Word330 Word99 Word764 Word780,19,Category_1,0.09617061986206864
Col4,Word51 Word794,19,Category_1,0.09617061986206864
Col1,Word208 Word209 Word155 Word7,19,Category_1,0.09617061986206864
Col6,Word571 Word52 Word594 Word641,19,Category_1,0.09617061986206864
Col1,Word47 Word3 Word4 Word39,19,Category_1,0.09617061986206864
Col3,44473.31,19,Category_1,0.09617061986206864
Col6,Word560 Word561 Word593 Word578 Word65,18,Category_1,0.10878436942787015
Col1,Word131 Word132 Word133 Word5,18,Category_1,0.10878436942787015
Col3,22000.0,18,Category_1,0.10878436942787015
Col4,Word330 Word99 Word780,18,Category_1,0.10878436942787015
Col4,Word60 Word99 Word780,18,Category_1,0.10878436942787015
Col3,65.0,18,Category_1,0.10878436942787015
Col3,640.8,18,Category_1,0.10878436942787015
Col4,Word9 Word26,17,Category_1,0.12305253983796853
Col1,Word235,17,Category_1,0.12305253983796853
Col1,Word140 Word3 Word34,17,Category_1,0.12305253983796853
Col6,Word571 Word52 Word594 Word595 Word596 Word59,17,Category_1,0.12305253983796853
Col4,Word935 Word26,17,Category_1,0.12305253983796853
Col3,200.0,17,Category_1,0.12305253983796853
Col6,Word567 Word650 Word9 Word255,16,Category_1,0.13919212512064744
Col4,Word578 Word991,16,Category_1,0.13919212512064744
Col3,4223.0,16,Category_1,0.13919212512064744
Col4,Word884 Word784 Word785,16,Category_1,0.13919212512064744
Col6,Word563 Word682 Word683 Word684,16,Category_1,0.13919212512064744
Col1,Word81 Word82 Word5,15,Category_1,0.1574485802659059
Col6,Word567 Word568 Word569 Word295,15,Category_1,0.1574485802659059
Col4,Word802 Word278 Word1242 Word803,15,Category_1,0.1574485802659059
Col3,810.0,15,Category_1,0.1574485802659059
Col1,Word27 Word28 Word29 Word5,15,Category_1,0.1574485802659059
Col3,-44473.31,15,Category_1,0.1574485802659059
Col3,280.8,15,Category_1,0.1574485802659059
Col4,Word1171 Word1107 Word794 Word659 Word1295,15,Category_1,0.1574485802659059
Col3,54.0,15,Category_1,0.1574485802659059
Col1,Word153 Word154 Word109 Word155 Word31,14,Category_1,0.17809955416847148
Col1,Word308 Word309 Word310,14,Category_1,0.17809955416847148
Col3,55.9,14,Category_1,0.17809955416847148
Col3,990.0,14,Category_1,0.17809955416847148
Col3,108.0,14,Category_1,0.17809955416847148
Col3,3750.0,14,Category_1,0.17809955416847148
Col4,Word130 Word791,14,Category_1,0.17809955416847148
Col4,Word835 Word682 Word683 Word684,14,Category_1,0.17809955416847148
Col3,2760671.27,14,Category_1,0.17809955416847148
Col4,Word1189 Word784 Word785,14,Category_1,0.17809955416847148
Col4,Word255 Word791,14,Category_1,0.17809955416847148
Col3,384.0,14,Category_1,0.17809955416847148
Col1,Word148 Word75 Word5,13,Category_1,0.20145911218404858
Col4,Word582 Word1225,13,Category_1,0.20145911218404858
Col3,1329.6,13,Category_1,0.20145911218404858
Col4,Word979 Word836 Word694 Word45 Word911 Word80,13,Category_1,0.20145911218404858
Col4,Word978 Word780,13,Category_1,0.20145911218404858
Col4,Word132 Word255,13,Category_1,0.20145911218404858
Col4,Word26,13,Category_1,0.20145911218404858
Col3,117.0,13,Category_1,0.20145911218404858
Col3,48705.93,13,Category_1,0.20145911218404858
Col4,Word785 Word330 Word99 Word26,13,Category_1,0.20145911218404858
Col6,Word571 Word52 Word657 Word646 Word13,13,Category_1,0.20145911218404858
Col4,Word792 Word1173 Word985 Word659,13,Category_1,0.20145911218404858
Col4,Word1014 Word784 Word785,13,Category_1,0.20145911218404858
Col4,Word944 Word945,12,Category_1,0.22788251251652972
Col6,Word571 Word52 Word618 Word619 Word13,12,Category_1,0.22788251251652972
Col4,Word783 Word784 Word568 Word650,12,Category_1,0.22788251251652972
Col6,Word571 Word52 Word639 Word579,12,Category_1,0.22788251251652972
Col4,Word941 Word785,12,Category_1,0.22788251251652972
Col3,152.1,12,Category_1,0.22788251251652972
Col6,Word571 Word52 Word657 Word681 Word371 Word13,12,Category_1,0.22788251251652972
Col3,1170.0,12,Category_1,0.22788251251652972
Col4,Word121 Word791,12,Category_1,0.22788251251652972
Col1,Word195 Word5,12,Category_1,0.22788251251652972
Col4,Word1031 Word784 Word785,12,Category_1,0.22788251251652972
Col3,702.0,12,Category_1,0.22788251251652972
Col1,Word263 Word264 Word61 Word5,12,Category_1,0.22788251251652972
Col3,11200.0,12,Category_1,0.22788251251652972
Col1,Word83 Word84 Word44 Word7,12,Category_1,0.22788251251652972
Col4,Word1021 Word121 Word659,12,Category_1,0.22788251251652972
Col4,Word132 Word1183 Word1323,12,Category_1,0.22788251251652972
Col4,Word330 Word1004 Word1005 Word980 Word45 Word,11,Category_1,0.25777160907670355
Col4,Word1028 Word9,11,Category_1,0.25777160907670355
Col4,Word338 Word330 Word99 Word26,11,Category_1,0.25777160907670355
Col6,Word563 Word82 Word9 Word607,11,Category_1,0.25777160907670355
Col3,421.2,11,Category_1,0.25777160907670355
Col4,Word1258 Word945,11,Category_1,0.25777160907670355
Col4,Word9 Word785,11,Category_1,0.25777160907670355
Col4,Word900 Word805 Word806,11,Category_1,0.25777160907670355
Col4,Word1283 Word1284,11,Category_1,0.25777160907670355
Col1,Word272 Word29 Word5,11,Category_1,0.25777160907670355
Col6,Word613 Word99 Word614 Word366 Word562,11,Category_1,0.25777160907670355
Col4,Word130,11,Category_1,0.25777160907670355
Col3,850.0,11,Category_1,0.25777160907670355
Col1,Word167 Word168 Word169,11,Category_1,0.25777160907670355
Col3,42.0,11,Category_1,0.25777160907670355
Col4,Word785 Word330 Word99 Word780,11,Category_1,0.25777160907670355
Col6,Word563 Word619,10,Category_1,0.2915809629805319
Col4,Word901 Word343,10,Category_1,0.2915809629805319
Col1,Word221 Word222 Word128,10,Category_1,0.2915809629805319
Col4,Word819 Word785,10,Category_1,0.2915809629805319
Col4,Word797 Word190 Word99 Word602,10,Category_1,0.2915809629805319
Col3,300.0,10,Category_1,0.2915809629805319
Col6,Word560 Word561 Word551 Word4,10,Category_1,0.2915809629805319
Col3,150.0,10,Category_1,0.2915809629805319
Col6,Word571 Word52 Word572 Word573 Word574,10,Category_1,0.2915809629805319
Col4,Word51 Word791 Word562,10,Category_1,0.2915809629805319
Col4,Word51 Word985 Word562,10,Category_1,0.2915809629805319
Col6,Word576 Word130 Word577 Word578,10,Category_1,0.2915809629805319
Col3,1281.6,10,Category_1,0.2915809629805319
Col4,Word689 Word780,10,Category_1,0.2915809629805319
Col4,Word785 Word61,10,Category_1,0.2915809629805319
Col3,130.0,10,Category_1,0.2915809629805319
Col1,Word189 Word190 Word191 Word7,9,Category_1,0.329824755632245
Col3,10080.0,9,Category_1,0.329824755632245
Col4,Word689 Word26,9,Category_1,0.329824755632245
Col3,520.0,9,Category_1,0.329824755632245
Col6,Word571 Word52 Word657 Word457 Word13,9,Category_1,0.329824755632245
Col4,Word51 Word791,9,Category_1,0.329824755632245
Col4,Word582 Word943,9,Category_1,0.329824755632245
Col3,52.0,9,Category_1,0.329824755632245
Col1,Word376 Word377 Word44,9,Category_1,0.329824755632245
Col1,Word151 Word152 Word22 Word13 Word7,9,Category_1,0.329824755632245
Col3,425.0,9,Category_1,0.329824755632245
Col1,Word215 Word3 Word4 Word39,9,Category_1,0.329824755632245
Col4,Word942 Word784 Word785,9,Category_1,0.329824755632245
Col4,Word1484 Word985,9,Category_1,0.329824755632245
Col6,Word571 Word52 Word594 Word696,9,Category_1,0.329824755632245
Col4,Word1347 Word856,9,Category_1,0.329824755632245
Col4,Word785 Word948 Word764 Word26,9,Category_1,0.329824755632245
Col4,Word1246 Word791,9,Category_1,0.329824755632245
Col4,Word292 Word791,9,Category_1,0.329824755632245
Col1,Word97 Word91 Word4 Word5,9,Category_1,0.329824755632245
Col4,Word827 Word791,9,Category_1,0.329824755632245
Col4,Word578 Word794,9,Category_1,0.329824755632245
Col3,40.0,9,Category_1,0.329824755632245
Col4,Word779 Word258 Word26,9,Category_1,0.329824755632245
Col4,Word785 Word330 Word99,9,Category_1,0.329824755632245
Col4,Word899 Word805 Word605,9,Category_1,0.329824755632245
Col3,580.0,8,Category_1,0.3730846085282096
Col3,1020.0,8,Category_1,0.3730846085282096
Col3,427.2,8,Category_1,0.3730846085282096
Col3,144.0,8,Category_1,0.3730846085282096
Col3,842.4,8,Category_1,0.3730846085282096
Col3,1293.0,8,Category_1,0.3730846085282096
Col6,Word571 Word52 Word657 Word292 Word13,8,Category_1,0.3730846085282096
Col3,725.0,8,Category_1,0.3730846085282096
Col3,561.6,8,Category_1,0.3730846085282096
Col3,1068.0,8,Category_1,0.3730846085282096
Col3,3350.0,8,Category_1,0.3730846085282096
Col6,Word613 Word99 Word614 Word98 Word338 Word678,8,Category_1,0.3730846085282096
Col6,Word571 Word52 Word639 Word640 Word579,8,Category_1,0.3730846085282096
Col6,Word563 Word220,8,Category_1,0.3730846085282096
Col3,320.0,8,Category_1,0.3730846085282096
Col6,Word563 Word250,8,Category_1,0.3730846085282096
Col3,59401.33,8,Category_1,0.3730846085282096
Col6,Word560 Word611 Word366 Word562,8,Category_1,0.3730846085282096
Col3,324.0,8,Category_1,0.3730846085282096
Col1,Word104 Word105 Word4 Word5,8,Category_1,0.3730846085282096
Col4,Word13 Word791,8,Category_1,0.3730846085282096
Col1,Word356 Word13,8,Category_1,0.3730846085282096
Col4,Word338 Word61,8,Category_1,0.3730846085282096
Col1,Word54 Word98 Word4 Word7,8,Category_1,0.3730846085282096
Col4,Word1021 Word1022 Word659,8,Category_1,0.3730846085282096
Col4,Word1021 Word1131 Word659,8,Category_1,0.3730846085282096
Col4,Word613 Word781 Word967 Word986 Word808,8,Category_1,0.3730846085282096
Col4,Word864 Word105,8,Category_1,0.3730846085282096
Col4,Word26 Word935,8,Category_1,0.3730846085282096
Col4,Word26 Word569,8,Category_1,0.3730846085282096
Col1,Word196 Word197 Word198 Word4 Word7,8,Category_1,0.3730846085282096
Col1,Word108 Word109 Word45 Word5,8,Category_1,0.3730846085282096
Col1,Word129 Word130 Word5,8,Category_1,0.3730846085282096
Col4,Word946,8,Category_1,0.3730846085282096
Col6,Word560 Word561 Word315 Word577 Word642 Word6,8,Category_1,0.3730846085282096
Col4,Word255,8,Category_1,0.3730846085282096
Col1,Word187 Word188,8,Category_1,0.3730846085282096
Col4,Word190 Word965,8,Category_1,0.3730846085282096
Col4,Word592 Word856 Word562,7,Category_1,0.42201842870717327
Col4,Word580 Word1260 Word791,7,Category_1,0.42201842870717327
Col1,Word36 Word37 Word29,7,Category_1,0.42201842870717327
Col3,50.0,7,Category_1,0.42201842870717327
Col1,Word382 Word132 Word155 Word5,7,Category_1,0.42201842870717327
Col3,11900.0,7,Category_1,0.42201842870717327
Col4,Word255 Word278,7,Category_1,0.42201842870717327
Col3,111.8,7,Category_1,0.42201842870717327
Col4,Word330 Word914 Word806,7,Category_1,0.42201842870717327
Col3,1263.6,7,Category_1,0.42201842870717327
Col4,Word1028,7,Category_1,0.42201842870717327
Col4,Word516 Word913 Word1090,7,Category_1,0.42201842870717327
Col4,Word640 Word1002,7,Category_1,0.42201842870717327
Col3,500.0,7,Category_1,0.42201842870717327
Col6,Word571 Word52 Word636 Word372 Word575 Word61,7,Category_1,0.42201842870717327
Col1,Word349 Word3 Word4 Word350 Word351 Word333,7,Category_1,0.42201842870717327
Col3,700.0,7,Category_1,0.42201842870717327
Col4,Word792 Word1022 Word659,7,Category_1,0.42201842870717327
Col3,6300.0,7,Category_1,0.42201842870717327
Col1,Word192 Word193 Word194,7,Category_1,0.42201842870717327
Col3,930.0,7,Category_1,0.42201842870717327
Col6,Word560 Word611 Word612,7,Category_1,0.42201842870717327
Col3,807.5,7,Category_1,0.42201842870717327
Col6,Word560 Word561 Word685 Word686 Word687 Word6,7,Category_1,0.42201842870717327
Col4,Word643 Word82,7,Category_1,0.42201842870717327
Col3,55500.0,7,Category_1,0.42201842870717327
Col3,961.2,7,Category_1,0.42201842870717327
Col1,Word175 Word176 Word5,6,Category_1,0.4773704143707795
Col4,Word1031 Word784 Word568 Word650,6,Category_1,0.4773704143707795
Col3,382.5,6,Category_1,0.4773704143707795
Col3,23400.0,6,Category_1,0.4773704143707795
Col4,Word1033 Word785,6,Category_1,0.4773704143707795
Col4,Word118 Word991,6,Category_1,0.4773704143707795
Col3,35539.32,6,Category_1,0.4773704143707795
Col3,3503.94,6,Category_1,0.4773704143707795
Col3,260.0,6,Category_1,0.4773704143707795
Col4,Word1053 Word330 Word99 Word764 Word780,6,Category_1,0.4773704143707795
Col4,Word1097 Word791,6,Category_1,0.4773704143707795
Col4,Word1171 Word1107 Word794 Word659 Word1200,6,Category_1,0.4773704143707795
Col4,Word1281 Word9,6,Category_1,0.4773704143707795
Col1,Word126 Word127 Word128,6,Category_1,0.4773704143707795
Col1,Word22 Word451 Word452 Word7,6,Category_1,0.4773704143707795
Col3,400.0,6,Category_1,0.4773704143707795
Col3,570.0,6,Category_1,0.4773704143707795
Col1,Word320 Word321 Word4 Word5,6,Category_1,0.4773704143707795
Col3,58.5,6,Category_1,0.4773704143707795
Col1,Word367 Word368 Word369,6,Category_1,0.4773704143707795
Col1,Word378 Word147 Word5,6,Category_1,0.4773704143707795
Col4,Word1398 Word791,6,Category_1,0.4773704143707795
Col1,Word318,6,Category_1,0.4773704143707795
Col3,595.0,6,Category_1,0.4773704143707795
Col1,Word386 Word3 Word387 Word4 Word5,6,Category_1,0.4773704143707795
Col3,47500.0,6,Category_1,0.4773704143707795
Col1,Word388 Word4,6,Category_1,0.4773704143707795
Col1,Word389 Word147 Word130,6,Category_1,0.4773704143707795
Col3,435.0,6,Category_1,0.4773704143707795
Col1,Word41 Word49 Word7,6,Category_1,0.4773704143707795
Col1,Word284,6,Category_1,0.4773704143707795
Col4,Word1013 Word966,6,Category_1,0.4773704143707795
Col3,675.0,6,Category_1,0.4773704143707795
Col1,Word224 Word3 Word4 Word5,6,Category_1,0.4773704143707795
Col3,410.4,6,Category_1,0.4773704143707795
Col3,735.0,6,Category_1,0.4773704143707795
Col3,18500.0,6,Category_1,0.4773704143707795
Col6,Word560 Word561 Word603 Word604 Word605 Word6,6,Category_1,0.4773704143707795
Col4,Word879 Word785,6,Category_1,0.4773704143707795
Col4,Word785 Word904,6,Category_1,0.4773704143707795
Col4,Word785 Word9,6,Category_1,0.4773704143707795
Col4,Word800 Word805 Word810,6,Category_1,0.4773704143707795
Col3,12600.0,6,Category_1,0.4773704143707795
Col6,Word567 Word568 Word366 Word562,6,Category_1,0.4773704143707795
Col4,Word846 Word791 Word1062 Word45 Word967 Word9,6,Category_1,0.4773704143707795
Col4,Word785 Word650,6,Category_1,0.4773704143707795
Col3,135.0,6,Category_1,0.4773704143707795
Col4,Word259 Word1110 Word1111,6,Category_1,0.4773704143707795
Col3,12900.0,6,Category_1,0.4773704143707795
Col6,Word576 Word9 Word23 Word179,6,Category_1,0.4773704143707795
Col3,160.0,6,Category_1,0.4773704143707795
Col4,Word516 Word913,6,Category_1,0.4773704143707795
Col4,Word961 Word132,6,Category_1,0.4773704143707795
Col4,Word578,6,Category_1,0.4773704143707795
Col4,Word592 Word562,5,Category_1,0.5399823728424215
Col1,Word290 Word291 Word292 Word5,5,Category_1,0.5399823728424215
Col6,Word576 Word705 Word706,5,Category_1,0.5399823728424215
Col6,Word576 Word202 Word545,5,Category_1,0.5399823728424215
Col1,Word311 Word99 Word393 Word44,5,Category_1,0.5399823728424215
Col4,Word569 Word26,5,Category_1,0.5399823728424215
Col4,Word779 Word258 Word780,5,Category_1,0.5399823728424215
Col6,Word576 Word118 Word708 Word662,5,Category_1,0.5399823728424215
Col4,Word744 Word1052,5,Category_1,0.5399823728424215
Col1,Word325 Word13 Word5,5,Category_1,0.5399823728424215
Col3,516.0,5,Category_1,0.5399823728424215
Col4,Word699 Word882 Word695 Word778,5,Category_1,0.5399823728424215
Col1,Word341 Word181 Word7,5,Category_1,0.5399823728424215
Col6,Word571 Word52 Word639 Word250 Word651,5,Category_1,0.5399823728424215
Col4,Word783 Word784 Word577,5,Category_1,0.5399823728424215
Col3,1600.0,5,Category_1,0.5399823728424215
Col1,Word256 Word4 Word5,5,Category_1,0.5399823728424215
Col6,Word567 Word582 Word250,5,Category_1,0.5399823728424215
Col3,982.8,5,Category_1,0.5399823728424215
Col3,972.0,5,Category_1,0.5399823728424215
Col4,Word993 Word784 Word785,5,Category_1,0.5399823728424215
Col4,Word967 Word717 Word909 Word808,5,Category_1,0.5399823728424215
Col3,912.6,5,Category_1,0.5399823728424215
Col1,Word12 Word13 Word7,5,Category_1,0.5399823728424215
Col3,90.0,5,Category_1,0.5399823728424215
Col3,89681.0,5,Category_1,0.5399823728424215
Col4,Word949 Word991 Word700 Word909 Word808 Word8,5,Category_1,0.5399823728424215
Col3,608.4,5,Category_1,0.5399823728424215
Col4,Word909 Word830 Word45 Word808,5,Category_1,0.5399823728424215
Col4,Word895,5,Category_1,0.5399823728424215
Col4,Word867 Word849,5,Category_1,0.5399823728424215
Col3,789.6,5,Category_1,0.5399823728424215
Col3,760.5,5,Category_1,0.5399823728424215
Col3,756.0,5,Category_1,0.5399823728424215
Col6,Word563 Word676,5,Category_1,0.5399823728424215
Col6,Word567 Word107,5,Category_1,0.5399823728424215
Col4,Word802 Word278 Word1242 Word1468,5,Category_1,0.5399823728424215
Col4,Word569,5,Category_1,0.5399823728424215
Col4,Word9 Word780,5,Category_1,0.5399823728424215
Col4,Word568 Word650,5,Category_1,0.5399823728424215
Col6,Word647 Word648 Word649,5,Category_1,0.5399823728424215
Col3,4557.96,5,Category_1,0.5399823728424215
Col3,304.2,5,Category_1,0.5399823728424215
Col3,3000.0,5,Category_1,0.5399823728424215
Col4,Word1178 Word1032 Word864,5,Category_1,0.5399823728424215
Col3,290.0,5,Category_1,0.5399823728424215
Col3,28864.21,5,Category_1,0.5399823728424215
Col3,2866.86,5,Category_1,0.5399823728424215
Col4,Word1181 Word1060 Word1182,5,Category_1,0.5399823728424215
Col4,Word121 Word1062 Word45 Word1062 Word981,5,Category_1,0.5399823728424215
Col3,27300.0,5,Category_1,0.5399823728424215
Col4,Word204 Word1003 Word888,5,Category_1,0.5399823728424215
Col3,132.0,5,Category_1,0.5399823728424215
Col3,1489.2,5,Category_1,0.5399823728424215
Col4,Word1322 Word319 Word1257,5,Category_1,0.5399823728424215
Col3,2500.0,5,Category_1,0.5399823728424215
Col3,249.6,5,Category_1,0.5399823728424215
Col4,Word1484 Word1062 Word45 Word1062 Word981,5,Category_1,0.5399823728424215
Col3,234.0,5,Category_1,0.5399823728424215
Col3,2210.0,5,Category_1,0.5399823728424215
Col4,Word1379 Word785,5,Category_1,0.5399823728424215
Col3,2070.0,5,Category_1,0.5399823728424215
Col3,198.0,5,Category_1,0.5399823728424215
Col3,19654.0,5,Category_1,0.5399823728424215
Col4,Word1486 Word562,5,Category_1,0.5399823728424215
Col3,467.5,5,Category_1,0.5399823728424215
Col4,Word1119 Word1120 Word806,5,Category_1,0.5399823728424215
Col4,Word255 Word132,5,Category_1,0.5399823728424215
Col3,4500.0,5,Category_1,0.5399823728424215
Col3,1641.6,5,Category_1,0.5399823728424215
Col6,Word725 Word726 Word450 Word727,5,Category_1,0.5399823728424215
Col4,Word562 Word26,5,Category_1,0.5399823728424215
Col3,426.66,5,Category_1,0.5399823728424215
Col3,103.2,5,Category_1,0.5399823728424215
Col1,Word55 Word56 Word57 Word5,5,Category_1,0.5399823728424215
Col3,10500.0,5,Category_1,0.5399823728424215
Col3,4200.0,5,Category_1,0.5399823728424215
Col4,Word338 Word568 Word650,5,Category_1,0.5399823728424215
Col3,1304.4,5,Category_1,0.5399823728424215
Col4,Word338 Word1159 Word9,5,Category_1,0.5399823728424215
Col3,1152.0,5,Category_1,0.5399823728424215
Col4,Word1021 Word1386 Word659,5,Category_1,0.5399823728424215
Col3,1162.8,5,Category_1,0.5399823728424215
Col3,11979.8,5,Category_1,0.5399823728424215
Col3,12485.51,5,Category_1,0.5399823728424215
Col3,380.0,5,Category_1,0.5399823728424215
Col4,Word1053 Word330 Word99 Word764 Word26,5,Category_1,0.5399823728424215
Col3,3605.0,5,Category_1,0.5399823728424215
Col4,Word1053 Word330 Word99 Word764 Word61,5,Category_1,0.5399823728424215
Col3,336.0,5,Category_1,0.5399823728424215
Col3,1125.0,5,Category_1,0.5399823728424215
Col4,Word850 Word65,5,Category_1,0.5399823728424215
